x,y,z,delta_x,delta_y,delta_z
70.992752,320.965668,69.878,0.401602,0.122827,0.90754
207,24.282389,76,-0.715389,-0.323699,0.619224
66.943371,44.731781,36.421,0.043326,-0.362792,0.930862
208.970093,324.858307,104.8494,0.050613,0.408151,0.91151
235,63,105.6503,0.229125,0.729088,0.644928
44.962452,14.041894,27.987,-0.476296,0.163351,0.863979
271.369019,189,46,0.561993,0.611577,-0.5569
217.504318,67.000004,96,0.607137,0.088192,0.789688
98.920219,91.718391,69.972,0.525779,0.835364,-0.160386
106.944557,19.028777,93.981,0.235277,-0.792091,0.563238
235.119415,19,76,0.915044,-0.214318,-0.341706
68.970436,190.85997,51.594,0.743202,-0.099865,-0.661572
236.999039,277.930878,64,-0.661469,0.748941,-0.039324
285,15,46.506,0.154494,0.19092,0.969372
267,41,40.676,0.176296,0.217582,0.959989
211,53.825321,86,0.399694,-0.899593,0.176003
249,29,39.292,-0.391362,-0.230521,0.890896
208.142624,178.86264,87.693,-0.445885,0.895076,-0.005096
243,37,117.6688,0.911481,-0.400434,0.094103
258.514603,83,78,0.215929,-0.850059,0.48039
131.534439,68.784847,97.984,0.440497,-0.28317,0.851926
273,27,43.062,-0.161006,0.167272,0.972675
188.989777,122.483101,63.996,0.415344,-0.903193,-0.108309
90.990051,384.952881,62.572,0.236899,-0.051759,0.970155
52.993713,186.970245,114.9323,-0.241768,-0.177066,0.954042
223,51,84.346,-0.47936,0.480141,-0.734629
203,39,65.78,-0.912677,0.354895,0.202658
275,67.000004,43.57,-0.231404,0.039031,0.972075
239.000015,21.851265,108,0.458385,-0.886993,-0.055907
249,67.282654,92,-0.051557,0.359247,0.931817
7,73,111.3235,0.825602,0.101013,0.555137
108.959457,342.343109,99.986,-0.239767,-0.645307,0.725321
206.973068,370.324738,43.991,-0.136445,-0.612482,0.778619
93.596695,312.871429,57.99,0.950392,0.265136,0.162659
265.392303,59,70,0.819158,-0.089493,0.566543
114.931114,108.673721,43.023,-0.167047,-0.064507,0.983836
128.934723,153.141983,43.977,0.014394,0.407158,0.913244
39,395,63.221,-0.07833,-0.000118,0.996927
249,81.531837,82,0.233963,-0.963805,0.12783
221,51.596638,72,-0.192239,0.715535,0.671605
157.762634,78.850471,79.989,0.780919,-0.552855,0.290719
281,193,52.805,-0.334266,0.437429,-0.834819
206.957672,344.282837,85.985,-0.252024,0.967685,0.008324
204.065018,51,82,0.14372,-0.986155,0.082724
299,111.000008,87.767,0.779118,-0.302584,0.549015
56.976665,162.006683,49.992,-0.573538,0.81579,-0.074445
269,49,41.265,0.185002,-0.352179,0.917466
297,49,47.308,-0.235031,-0.040674,0.971136
114.920326,135.355667,61.972,0.410959,-0.839786,-0.354785
221,14.712023,64,-0.081452,-0.970578,0.22659
102.920731,90.642349,73.972,0.047313,0.982411,-0.180641
116.931335,176.674774,47.122,0.538528,0.35622,-0.763607
48.995136,184.976959,113.1609,-0.434483,-0.104077,0.894647
248.184692,49,80,0.573191,-0.819339,-0.01166
40.996159,168.981796,107.0629,-0.725467,-0.288491,0.624876
279.349609,173,40,0.008818,0.541261,0.840808
168.990128,34.953249,44.792,-0.213284,0.142323,0.966568
257,95,97.402,0.112416,-0.104684,0.988132
267,198.145584,88,-0.185168,0.662979,0.725377
237,31.859552,120,0.247031,-0.564158,0.787846
193.728592,94.984268,65.999,0.956692,-0.116623,0.266721
253,95,97.797,0.047636,-0.191024,0.980429
188.957001,297.093414,55.985,0.110883,-0.990178,0.085165
203,13,62.275,-0.785356,-0.352994,0.508538
291,91.508751,62,0.154794,-0.959119,-0.236915
198.932907,169.980392,64.031,-0.407689,0.899963,0.154457
217.461899,27,110,-0.619313,-0.548277,0.561999
176.996094,28.981504,45.596,0.289977,-0.00678,0.957009
241,54.848183,116,0.591585,0.798369,-0.112399
126.939766,55.280022,47.979,0.609945,-0.778352,0.148778
58.960461,82.812737,36.56,0.12325,0.003757,0.992369
209,41,92.126,-0.727892,0.136889,-0.671888
271,67.000004,42.747,-0.154238,0.074399,0.985229
158.977768,56.17487,41.992,0.093802,0.144355,0.98507
72.928871,31.949909,73.975,-0.708648,0.56022,-0.428918
186.988129,121.440987,67.996,0.522061,-0.850711,0.061177
205.000015,5,46.582,-0.079001,-0.640175,0.764156
110.951622,332.279449,89.983,-0.140558,-0.856418,0.496781
299,17,45.521,0.221584,-0.064576,0.973001
285,86.187965,72,0.259883,-0.930753,0.257216
51.596107,144.900589,89.993,-0.452475,0.186658,0.872024
10.999301,91.260132,88,0.566571,0.815637,0.117186
220.958862,180.482803,75.314,-0.358544,0.923965,-0.133175
205.743317,35,96,-0.899667,-0.281614,-0.333604
199.786469,82.999619,44,-0.650367,0.737369,0.182507
229.35463,59,84,-0.422836,0.310562,-0.851329
119.115028,265.23233,96.552,-0.418441,0.037541,0.907468
249,32.053741,42,0.137974,-0.896568,0.420867
100.924103,16.773946,69.973,0.537944,-0.608836,0.58304
148.956802,93.072571,85.985,0.384938,0.890068,0.244136
285,133.995407,70,0.176653,0.840399,0.512371
238.991226,357.376251,101.9969,-0.267319,0.732106,0.626547
227,17.923135,100,-0.079787,-0.951465,0.297235
213.109802,65,98,0.051156,0.132057,0.989921
207,81,90.416,0.105209,0.582402,0.806064
273,391,48.183,0.261121,0.049205,0.964051
78.959167,196.80661,90.496,0.482654,0.299212,-0.823114
92.938362,132.708061,94.272,-0.172398,-0.78374,0.596683
80.936623,35.34099,89.978,-0.674394,-0.47545,0.564924
194.993652,154.969971,102.5785,0.040323,0.23433,0.971321
249.773422,51,102,0.876948,0.22284,0.425798
69.275093,170.816193,61.986,-0.452001,0.878532,-0.154521
263.752289,49,68,0.407099,-0.429875,0.805901
257.917191,273.02948,81.559,-0.950089,0.166198,0.264025
70.960068,167.744354,55.986,-0.258102,0.900018,-0.351213
230.999985,187.88623,56,-0.85758,0.483103,0.176542
167.055405,156.802887,61.985,0.585427,0.667878,-0.45958
176.958481,240.803375,49.493,-0.066108,0.512343,0.856233
291,328.731201,34,0.564949,0.688168,0.455255
261,77,71.675,0.336155,-0.496757,0.800145
268.584412,341,80,0.904203,0.322652,0.279843
100.289886,386.921082,59.994,0.117235,0.157248,0.980576
269,11,45.024,-0.121976,0.07411,0.989762
22.988249,46.158524,33.996,-0.242263,-0.084799,0.966498
251,221,44.329,0.179276,-0.188987,0.965476
54.96822,132.165413,73.989,-0.141263,-0.758622,-0.636032
277.26532,27,44,-0.215213,0.139588,0.966539
34.979399,58.770969,35.993,-0.000428,0.134804,0.990872
271,61,43.397,0.081922,0.06945,0.994216
232.9832,402.920471,57.04,0.493639,-0.352606,-0.794978
94.944565,134.204712,101.9805,0.332923,-0.942951,-0.00241
215,14.422379,66,0.25521,-0.944675,0.206048
216.987274,302.939697,50.407,0.061941,-0.339116,0.938703
226.999908,214.999542,51.882,-0.107009,0.276435,0.955056
5.321874,179,38,0.17593,-0.083783,0.980831
102.932846,18.681942,83.493,0.131002,-0.930382,-0.342385
215,54.512085,110,-0.583556,0.779341,0.228232
62.9366,23.847902,75.978,-0.501661,0.781705,-0.370505
144.936676,212.712677,45.234,-0.03436,0.068784,0.99704
302.924927,365,36,0.353468,-0.1291,0.926495
283,75,44.335,-0.152754,0.128965,0.979813
200.988968,200.947784,51.418,0.003503,0.150099,0.988665
243.958298,27,46,0.85706,-0.328906,-0.396572
227,49,122.4894,-0.091332,0.237995,0.966963
56.963974,92.829369,38.501,-0.058366,-0.219778,0.973802
283.717041,199,94,-0.39707,0.799014,0.451567
162.958481,162.803391,47.644,0.202243,0.536887,0.819055
273,82.613586,60,0.757246,-0.505641,-0.413407
114.926086,52.649914,64.663,0.35189,-0.766284,-0.537571
234.986984,402.938354,52.651,0.395763,-0.285671,0.872791
273,86.066994,80,0.080446,-0.963009,0.257181
50.977936,149.898499,79.992,-0.862944,0.490569,0.121115
21,245,40.32,-0.165989,0.107792,0.980219
102.932465,94.68013,39.406,-0.276158,-0.305146,0.911385
271,70.238342,58,0.750545,0.401873,-0.524576
273,401,43.625,0.281381,0.627544,0.725957
66.018276,238.918625,59.994,-0.9598,0.059276,0.274354
213.70401,71,96,0.193678,0.60525,0.772114
163.341888,216.320877,52.688,0.053863,0.143364,0.988203
219,115,45.146,0.107355,-0.545448,0.831241
215,25,92.577,-0.671732,-0.546037,-0.500619
289,319,49.776,0.277057,0.14153,0.950373
190.998932,66.136517,86,-0.999726,-0.023083,-0.003961
251,33.885176,58,0.305566,-0.881651,0.359611
98.923386,132.637115,73.359,0.225627,-0.954895,-0.193049
160.951004,188.767944,48.937,0.168726,-0.185054,0.968136
38.970459,20.860082,27.583,-0.028498,-0.255027,0.966514
190.999008,56.763485,76,-0.898995,-0.414926,0.140158
5.734351,95,100,0.756724,0.533905,0.377245
88.934608,104.6903,43.636,0.235458,-0.247396,0.93987
104.939758,17.748728,89.979,0.036328,-0.996805,0.071131
297,25,44.975,0.051988,0.144477,0.988142
37,379,59.134,0.019898,-0.258363,0.965843
293,195.162994,64,0.167473,0.904895,0.391302
106.940071,196.716156,45.038,0.114157,-0.052428,0.992078
303,98.918381,76,0.370998,-0.493003,0.786961
132.873695,348.681488,93.976,0.73426,-0.222106,0.641507
285,136.093887,62,0.022723,0.967565,-0.251598
52.97089,134.885971,67.99,-0.453523,-0.849487,0.269609
180.94458,298.73114,61.981,0.217228,-0.884429,0.413035
208.969635,372.725098,49.989,0.217373,-0.971044,-0.099104
138.925903,230.623962,53.244,0.318182,-0.872684,-0.370381
295,185,96.461,0.126294,-0.192654,0.973105
